word1,word2,label
kuwait,debate,1
flight,despite,1
views,jews',1
ignore,d'or,1
technological,article,1
technical,article,1
slight,invite,1
clean,marine,1
prior,desire,1
doc,o'clock,1
grow,ceo,1
west,expressed,1
compressed,northwest,1
deer,we're,1
heat,complete,1
invest,expressed,1
you,debut,1
request,impressed,1
replied,worldwide,1
cruise,hughes,1
cute,pursuit,1
critical,article,1
thee,nbc,1
score,d'or,1
whore,d'or,1
foam,rome,1
design,divine,1
fight,despite,1
float,remote,1
gore,d'or,1
seek,technique,1
own,don't,1
gay,cia,1
preview,revenue,1
crude,renewed,1
phd,guarantee,1
lamb,ma'am,1
sur,we're,1
label,unable,1
missed,resist,1
guy,sri,1
supplied,beside,1
crew,debut,1
disease,she's,1
incomplete,defeat,1
elite,repeat,1
guarantees,expertise,1
height,invite,1
rain,wayne,1
cigarette,forget,1
probably,abc,1
implied,beside,1
sue,hugh,1
bio,joe,1
photo,moscow,1
aside,i'd,1
aim,became,1
tract,attacked,1
tour,ensure,1
pursue,hugh,1
loan,don't,1
boys,toys',1
beer,we're,1
ukraine,domain,1
size,supplies,1
dies,eyes',1
mean,vaccine,1
passed,contrast,1
newbie,anthony,1
locks,stocks',1
door,anymore,1
greek,technique,1
assign,divine,1
phase,essays,1
flyer,desire,1
renew,hugh,1
exclude,renewed,1
made,they'd,1
nude,reviewed,1
keen,marine,1
tobacco,rainbow,1
jade,they'd,1
tri,goodbye,1
tattoo,hugh,1
snow,although,1
cox,stocks',1
cds,disease,1
picked,conflict,1
tracked,abstract,1
died,alongside,1
gazette,regret,1
occur,we're,1
why,fbi,1
know,ceo,1
pair,prepare,1
thai,july,1
knew,debut,1
surgical,article,1
unique,greek,1
blade,they'd,1
fist,dismissed,1
pray,dna,1
tue,hugh,1
bbc,tennessee,1
mumbai,supply,1
due,review,1
prepare,unfair,1
ear,we're,1
align,combine,1
shore,d'or,1
sale,detail,1
aye,supply,1
cassette,forget,1
unknown,don't,1
buzz,because,1
soap,nope,1
fact,attacked,1
thy,dubai,1
guest,expressed,1
lane,complain,1
boutique,greek,1
racks,relax,1
great,create,1
interact,attacked,1
mere,premier,1
keys,louise,1
vaccine,jean,1
anymore,d'or,1
spy,sri,1
agrees,chinese,1
attacks,relax,1
team,supreme,1
throat,'quote,1
these,he's,1
psychological,article,1
halloween,marine,1
side,i'd,1
coat,remote,1
maine,explain,1
disagree,phd,1
transfer,we're,1
fox,stocks',1
seat,pete,1
bear,declare,1
degrees,chinese,1
hey,dna,1
none,begun,1
two,hugh,1
sees,expertise,1
domain,wayne,1
wrist,dismissed,1
prefer,we're,1
willow,micro,1
play,c'est,1
mic,rick,1
six,conflicts,1
bean,marine,1
male,detail,1
micro,moscow,1
boat,'quote,1
share,unfair,1
hay,c'est,1
cruz,jews',1
away,usa,1
show,although,1
seen,vaccine,1
explore,d'or,1
implies,advise,1
stephanie,destiny,1
sic,rick,1
seem,regime,1
include,renewed,1
inside,supplied,1
cite,alright,1
eugene,jean,1
cons,sons',1
lingerie,highway,1
puerto,borrow,1
cologne,don't,1
ease,overseas,1
mozambique,greek,1
prayer,compare,1
main,jane,1
hereby,shanghai,1
radical,article,1
seas,chinese,1
pcs,chinese,1
midwest,expressed,1
array,usa,1
joan,don't,1
classical,article,1
pale,detail,1
consist,dismissed,1
checks,complex,1
deborah,camera,1
prepaid,upgrade,1
pontiac,feedback,1
overnight,despite,1
patrol,cole,1
expressed,request,1
whale,detail,1
yahoo,revenue,1
four,moore,1
vip,dvd,1
supplier,entire,1
write,alright,1
dale,detail,1
gene,jean,1
bowl,cole,1
scene,fifteen,1
waste,replaced,1
tear,declare,1
blow,ceo,1
day,nba,1
dear,we're,1
wait,estate,1
pac,attack,1
inquiry,abc,1
chain,ukraine,1
cafe,display,1
fbi,july,1
guide,supplied,1
metro,rainbow,1
shoot,dispute,1
lose,hughes,1
replies,advise,1
lone,don't,1
die,supply,1
delight,despite,1
pays,days',1
declare,blair,1
divide,i'd,1
tried,nationwide,1
mon,don't,1
tier,we're,1
engineer,we're,1
pressed,arrest,1
sea,bbc,1
food,include,1
box,stocks',1
for,moore,1
accessed,interest,1
tea,dvd,1
pty,shanghai,1
technique,greek,1
stay,cia,1
offshore,d'or,1
fruit,dispute,1
tray,usa,1
shown,don't,1
ways,days',1
digest,expressed,1
bay,nba,1
dubai,july,1
okay,usa,1
june,cartoon,1
rays,days',1
meat,pete,1
roulette,upset,1
breast,expressed,1
gear,we're,1
lows,suppose,1
promo,shadow,1
eyed,alongside,1
compute,pursuit,1
dry,goodbye,1
sign,combine,1
leone,joan,1
sarah,sierra,1
essays,days',1
pre,phd,1
tex,reflects,1
idaho,tomorrow,1
pas,because,1
beside,i'd,1
johns,sons',1
blessed,request,1
mtv,lee,1
knight,invite,1
balloon,june,1
feat,pete,1
goal,console,1
socks,stocks',1
physical,article,1
lean,vaccine,1
sauce,ross,1
moon,immune,1
week,technique,1
chinese,he's,1
grown,don't,1
fare,affair,1
peak,technique,1
mechanical,article,1
retain,insane,1
pursuit,dispute,1
delayed,upgrade,1
lay,cia,1
gourmet,yesterday,1
restore,d'or,1
increased,northeast,1
diane,stan,1
treat,compete,1
cream,extreme,1
kai,supply,1
wear,declare,1
pic,rick,1
noise,illinois,1
hindu,revenue,1
from,become,1
trade,they'd,1
shade,displayed,1
workflow,chicago,1
prize,guys',1
steam,supreme,1
ray,c'est,1
studer,mounted,0
gustave,unknown,0
gilgore,museum,0
karp,covers,0
frasco,command,0
benbow,cooling,0
palen,muslim,0
valleau,carries,0
lannom,clark,0
herren,mirror,0
arve,receive,0
arzamas,cabin,0
llanos,greater,0
dudeck,we'll,0
jewel,states',0
corp's,regard,0
stucker,written,0
doney,trading,0
rossano,clever,0
krah,physics,0
audrey,horror,0
seim,virus,0
tippen,kyle,0
attacks,ellen,0
owensby,servant,0
parrow,orange,0
juedes,that's,0
surmise,tony,0
limine,dakota,0
deskjet,ladies',0
deltas,japan,0
kemplin,acting,0
thada,amazing,0
orrin,news',0
whips,diesel,0
corkill,staying,0
puerile,expect,0
holton,alaska,0
leeway,flavor,0
mcneer,russia,0
ugandan,june,0
paddock,h.'s,0
riffed,germans,0
hokum,january,0
zehr,before,0
mione,careers,0
mccombs,robin,0
lathem,holder,0
lepera,wanting,0
orgeron,toronto,0
mahl,tests',0
warda,returns,0
arda,swiss,0
misner,extreme,0
venues,kevin,0
ludwin,legit,0
milke,week's,0
lovler,advisor,0
budner,works',0
leaped,times',0
helmont,anna,0
cocom,process,0
bombast,thesis,0
malloy,madison,0
murias,reviews,0
yamani,rural,0
schull,pension,0
dwyer,package,0
plowden,reject,0
solon,staring,0
capuano,english,0
godsend,medical,0
stamey,bruce,0
ryer,suicide,0
fluid,limited,0
ravioli,federal,0
carly,railway,0
tainted,select,0
susann,stupid,0
violate,athlete,0
caraway,anne,0
mixups,humor,0
wilted,indeed,0
gulps,density,0
ranallo,anxiety,0
dulany,combine,0
reitter,jason,0
devour,muslims,0
junine,britain,0
volts,within,0
dorman,terror,0
nusen,q.'s,0
irwin,america,0
kasick,warrant,0
vasser,buying,0
sesno's,william,0
poclain,ralph,0
hyannis,papers',0
loosens,courage,0
pasek,spain,0
redmund,panels,0
gabler,chronic,0
lasater,assume,0
want,susan,0
tilda,ability,0
lenehan,reading,0
ladow,where's,0
crests,toward,0
pronger,they'd,0
tocco,august,0
gazprom,what's,0
trigger,costa,0
kellis,missing,0
raises,collins,0
oetting,entire,0
daniels,israeli,0
duluth,working,0
woodard,attack,0
mobs,pepper,0
pastel,needing,0
packed,unlike,0
perito,honor,0
nedel,client,0
landing,korean,0
mcintee,bennett,0
creamy,related,0
denslow,federal,0
myrilla,bodies,0
kovacs,lesbian,0
valeo,stuart,0
sciara,cricket,0
hibachi,resume,0
hanni,inquiry,0
feedlot,visitor,0
biev's,allies,0
visit,sony,0
kowall,ross',0
jarvia,worried,0
canepa,disease,0
sybase,reveals,0
powless,beloved,0
quist's,context,0
milburn,lloyd,0
jakeway,ancient,0
catelli,april,0
lifter,woman,0
canyon,mario,0
caudill,origins,0
subtle,casual,0
pianist,allow,0
bosnian,jersey,0
loft,adapted,0
others',option,0
dyed,micro,0
conny,rebels',0
rome,.period,0
paddy's,wallet,0
ludites,refuse,0
maturo,measure,0
subtly,posting,0
firemen,obvious,0
maslin,liquid,0
harvie,lawyer,0
mraz,beliefs,0
duclos,debate,0
barajas,service,0
godwin,sierra,0
grupe,begun,0
oust,further,0
jelinek,francis,0
unmixed,endless,0
lenton,mature,0
lacombe,trying,0
stehlin,worries,0
mingun,climate,0
bembry,steven,0
kiosk,asking,0
revert,tennis,0
pumilia,graphic,0
amdek,kelly,0
lalley,cutting,0
bley,finale,0
caen,mills',0
aretsky,advise,0
durum,funding,0
margo,fathers,0
madonna,regret,0
shuart,ain't,0
parting,wallace,0
ficorca,edition,0
dollie,ford,0
hinn,moral,0
hotbeds,legend,0
italy,holmes,0
walnuts,monitor,0
dabah,winning,0
leccese,laying,0
broeker,guests',0
tact,fewer,0
earldom,occurs,0
scot,clarke,0
stare,you'd,0
ashore,appeal,0
exulted,boss',0
zorich,diary,0
hargens,maine,0
wyles,korea,0
forest,emily,0
berish,dental,0
rolley,wanting,0
sainato,hadn't,0
fasted,worship,0
huson,minimal,0
filosa,custody,0
servam,tickets,0
enable,therapy,0
detroit,novel,0
liar,banks',0
forgive,winner,0
kerouac,appear,0
sures,suspect,0
nussle,latter,0
close,active,0
hetz,updates,0
wallow,sending,0
viner,decided,0
elected,george,0
sabol,jacket,0
gurtler,alex,0
cellpro,fashion,0
luse,victims,0
beene,bother,0
hooray,mines',0
reveron,lifting,0
elcotel,pete,0
paeth,exists,0
rimmed,revenue,0
loire,genius,0
calan,sounded,0
thanks,anthony,0
exact,series',0
hanf,acted,0
genter,finals,0
reboard,lasted,0
denies,copies,0
limps,loyal,0
laser,wales,0
hurting,behalf,0
lincks,similar,0
hiaasen,andrew,0
komori,coffee,0
orbin,massage,0
akin,towers',0
large,alright,0
radella,muslims,0
caylor,comfort,0
juts,mental,0
tritz,theory,0
mover,actress,0
pounce,sheriff,0
rullo,adopted,0
hutu's,moscow,0
gullet,photos,0
erudite,center,0
buicks,combat,0
cramer,savage,0
weather,create,0
gainsay,ohio,0
iceman,pattern,0
schiele,carrier,0
seneker,factory,0
debo,lion,0
ciskei,storage,0
anttila,paper,0
carbon,enabled,0
slatkin,angels,0
hulburd,closing,0
huda,derived,0
nandi,diesel,0
morsch,talking,0
joynt,cameras,0
feat,never,0
crumby,diary,0
seale,foreign,0
primly,reduced,0
bolick,surgeon,0
rusnock,chile,0
swezey,ensure,0
losito,destroy,0
galin,pupils,0
cantina,alcohol,0
penthea,survey,0
arabica,s.'s,0
guilty,affairs,0
wian,society,0
duking,hybrid,0
madame,clinton,0
griego,weren't,0
atheist,resist,0
bazinet,editor,0
kouril,follows,0
barna,defend,0
fomby,warrior,0
tucking,address,0
larrow,issued,0
telstar,repair,0
neco's,objects,0
rosman,persons,0
gnarle,dollar,0
raimer,eleven,0
cubbage,india,0
disher,images,0
rank,foreign,0
chick,utah,0
crucify,servers,0
alun,plans',0
tyrrell,passion,0
cynic,gravity,0
killed,warning,0
rigney,resort,0
unfair,wonder,0
jerrico,gallery,0
womer,theory,0
woodell,assets,0
exuding,jake,0
rulers,cheaper,0
ridding,sooner,0
rediker,bombing,0
bussi,borders,0
mischke,assure,0
poet's,somehow,0
graves,alpha,0
rockets,filing,0
sieber,bowling,0
grimace,hotels,0
spie,centers,0
graco,flying,0
uhde,korean,0
eking,exist,0
routers,feeding,0
mislead,contest,0
dished,margin,0
shrader,reminds,0
moerbe,wallace,0
henegar,holiday,0
seaford,whereas,0
ojeda,bailey,0
inc.'s,usual,0
unlined,method,0
scrape,belgium,0
bruneau,during,0
cathey,history,0
schilke,burger,0
grajeda,rookie,0
with,nothing,0
purtee,liberal,0
adan,detail,0
nicen,request,0
simony,abandon,0
naber,monday,0
gaumond,program,0
oxton,essays,0
gogan,player,0
elting,worker,0
drabble,legends,0
baldez,illegal,0
durney,offense,0
ikea,visits,0
othilia,r.'s,0
shoes,classic,0
barnet,ticket,0
dudley,produce,0
zhenyu,desires,0
creason,income,0
peel,wings',0
corp.,asia,0
alyea,appeals,0
cashew,certain,0
dallman,comics,0
adhered,witness,0
hotel,towards,0
magic's,burning,0
bulemic,emotion,0
polka,peter,0
tokarz,enjoy,0
wrice,scott,0
bold,degree,0
younker,logan,0
hader,owners,0
haris,nevada,0
glaris,bonds',0
payers,excess,0
errol's,became,0
dorotea,awarded,0
winders,wayne,0
minor,comment,0
calia,brian,0
clerks',russian,0
offield,clinic,0
dulled,creates,0
kilroy,static,0
corsi,message,0
justiss,accent,0
arakawa,stuart,0
gemmill,digital,0
amoeba,cookies,0
pinyan,impacts,0
docks,piano,0
tripp,o'clock,0
madry,arctic,0
duma,shooter,0
coombe,tribal,0
froh,music,0
cayuses,mounted,0
rybicki,leather,0
raoul,thomas',0
deeter,tuesday,0
andreu,climate,0
rambow,notice,0
sedita,fifteen,0
kronor,pocket,0
kohl's,reduce,0
asamera,plants',0
brox,begins,0
stringy,w.'s,0
disch,results,0
dudar,sept,0
stovall,scandal,0
suire,robin,0
sounder,butter,0
deneau,isn't,0
saville,deliver,0
donia,shelter,0
bachman,ethics,0
ababa,contest,0
hosler,damages,0
femme,outside,0
annaud,fusion,0
meineke,prayer,0
omalley,reveal,0
aides',faculty,0
fugard,placing,0
advice,abuse,0
matsch,reflect,0
tompane,austria,0
koetter,complex,0
wreath,effect,0
boso,reward,0
kessler,billion,0
treptow,update,0
beddors,report,0
gosnell,allies,0
larcom,premium,0
conlow,remarks,0
sanzone,f.'s,0
dennehy,garage,0
lothrop,corrupt,0
cloves,degrees,0
pienta,century,0
gold,retire,0
vance,existed,0
burtch,leeds,0
palmer,seasons,0
halling,don't,0
knob,repairs,0
basha,remote,0
ringen,biology,0
esso,master,0
comex's,forum,0
sheedy,optical,0
nieves,options,0
kanawha,taiwan,0
soules,it'll,0
forton,kennedy,0
saloma,label,0
meche,laundry,0
raisers,backing,0
burrito,females,0
payola,trial,0
lorimor,channel,0
pharynx,genuine,0
sassulo,outfit,0
colbert,anybody,0
cancun,he'll,0
whitey,nope,0
moesch,stories,0
brom,granted,0
youths,exports,0
guineas,korea,0
lemelin,varied,0
hennick,matter,0
evangi,hundred,0
levin,camps',0
rahman,getting,0
rosser,except,0
stolpe,rainbow,0
plunger,cole,0
ruby's,alleged,0
amateur,evans,0
entz,c.'s,0
